id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s,year,lyrics
7zVZF0OgDJkFJohnlKwEpa,Amos Moses,Jerry Reed,['Jerry Reed'],0.738,0.723,2,-10.356,1,0.0728,0.4,0.00134,0.0166,0.95,105.541,4,139,1970,"Yeah, here comes Amos[Verse 1]Now Amos Moses was a CajunHe lived by his self in the swampHe hunted alligator for livin'He just knock 'em in the head with a stumpThe Louisiana law gonna get you Amos!It ain't legal huntin' alligator down in the swamp boy![Verse 2]Now everybody blamed his old manFor makin' him mean as a snakeWhen Amos Moses was a boyHis Daddy would use him for alligator baitTie a rope around his waist and throw him in the swampAlligator bait in the Louisiana Bayou[Chorus]About forty-five minutes southeast of Thibodeaux, LouisianaLived a man called Doc Millsap and his pretty wife HannaWell they raised up a sonWho could eat up his weight in groceriesNamed him after a man of the clothCalled him Amos Moses[Verse 3]Now the folks around south LouisianaSaid Amos was a hell of a manHe could trap the biggest, the meanest alligatorAnd just use one handThat's all he got left cuz alligator bit it!Left arm gone clean up to the elbow![Verse 4]Well the Sheriff got wind that AmosWas in the swamp tracking alligator skinSo he snuck in the swamp, gonna get the boyBut he never come out againWell I wonder where the Louisiana Sheriff went to?Well you can sure get lost in the Louisiana Bayou![Chorus]About forty-five minutes southeast of Thibodeaux, LouisianaLived a cat called Doc Millsap and his pretty wife HannaWell, they raised up a sonWho could eat up his weight in groceriesNamed him after a man of the cloth,Called him Amos Moses"
1d9hUvkv64Wmdu671Dydpc,Ride Captain Ride,Blues Image,['Blues Image'],0.547,0.655,2,-11.707,1,0.0414,0.136,0.00737,0.116,0.649,125.545,4,226,1970,"[Intro]Seventy-three men sailed up from the San Francisco BayRolled off of their ship, and here's what they had to say""We're callin' everyone to ride along to another shoreWe can laugh our lives away and be free once more""But no one heard them callin', no one came at allCause they were too busy watchin' those old raindrops fallAs a storm was blowin' out on the peaceful seaSeventy-three men sailed off to historyRide, captain ride upon your mystery shipBe amazed at the friends you have here on your tripRide captain ride upon your mystery shipOn your way to a world that others might have missed[Bridge]Seventy-three men sailed up from the San Francisco BayRolled off of their ship, and here's what they had to say""We're callin' everyone to ride along to another shoreWe can laugh our lives away and be free once more""But no one heard them callin', no one came at allCause they were too busy watchin' those old raindrops fallAs a storm was blowin' out on the peaceful seaSeventy-three men sailed off to historyRide, captain ride upon your mystery shipBe amazed at the friends you have here on your tripRide captain ride upon your mystery shipOn your way to a world that others might have missedRide, captain ride upon your mystery shipBe amazed at the friends you have here on your trip[Outro]"
0wb21I1NV5uVUolRXIqlJF,Come And Get It - Remastered 2010,Badfinger,['Badfinger'],0.616,0.629,8,-6.9,1,0.0263,0.0285,1.32e-06,0.208,0.606,94.004,4,143,1970,None
6hnyQ0YpiO35rutiLLHLmr,Vehicle,The Ides Of March,['The Ides Of March'],0.474,0.734,10,-8.813,0,0.0426,0.0871,0.00356,0.26,0.926,101.751,4,178,1970,"{Intro}[ Verse 1]Hey, well, I'm the friendly stranger in the black sedanWoncha hop inside my carI got pictures, I got candy, I'm a lovable manAnd I can take you to the nearest star[Chorus ]I'm your vehicle, babyI can take you anywhere you wanna goI'm your vehicle womanBy that I'm sure you knowI love ya (love ya)I need ya (need ya)I wants ya gots to have you childGreat God in heaven, you know I love you(Oh you know I do)[ Verse 2]Well, if you wants to be a movie starI canna take-a you to HollywoodBut if you wanna stay just like you areYou know, I think you really should[Chorus ]I'm your vehicle, babyI can take you anywhere you wanna goI'm your vehicle womanBy that I'm sure you knowI love ya (love ya)I need ya (need ya)I wants ya gots to have you childGreat God in heaven, you know I love you(Oh you know I do){Instrumental}"
3m167vBQI5YLK0a1m6L6Y1,We've Only Just Begun,Carpenters,['Carpenters'],0.41,0.321,9,-11.771,1,0.0292,0.771,3.34e-06,0.103,0.301,86.553,4,185,1970,None
4VnzKUBMB6cvog8Jvv1few,Yellow River,Christie,['Christie'],0.627,0.544,4,-11.436,1,0.029,0.0859,0.0,0.152,0.877,129.851,4,166,1970,"{Intro}So long, boy, you can take my placeGot my papers, I got my paySo pack my bags and I'll be on my way to Yellow RiverPut my gun down, the war is wonFill my glass high, the time has comeI'm goin' back to the place that I love Yellow RiverYellow River, Yellow River is in my mind and in my eyesYellow River, Yellow River is in my blood, it's the place I loveGot no time for explanations, got no time to loseTomorrow night you'll find me sleepin' underneath the moonAt Yellow RiverCannon fire lingers in my mindI'm so glad I'm still aliveAnd I've been gone for such a long time from Yellow RiverI remember the nights were coolI can still see the water poolAnd I remember the girl that I knew from Yellow RiverYellow River, Yellow River is in my mind and in my eyesYellow River, Yellow River is in my blood, it's the place I loveGot no time for explanations, got no time to loseTomorrow night you'll find me sleepin' underneath the moonAt Yellow RiverYellow River, Yellow River is in my mind and in my eyesYellow River, Yellow River is in my blood, it's the place I love{outro}"
4GAqWEmxzMZDZ1T0NFHqKG,Let's Work Together,Canned Heat,['Canned Heat'],0.76,0.702,0,-12.382,1,0.0362,0.123,1.38e-06,0.0807,0.885,118.783,4,170,1970,None
2zbV4xRYLuElz4PWOXI5P7,Rainy Night in Georgia,Brook Benton,['Brook Benton'],0.301,0.309,4,-19.155,0,0.042,0.524,0.0758,0.129,0.384,75.165,4,234,1970,"[Verse 1]Hoverin' by my suitcaseTryin' to find a warm placeTo spend the nightHeavy rain fallin'Seems I hear your voice callin'It's all right[Chorus]A rainy night in GeorgiaA rainy night in GeorgiaIt seems like it's rainin' all over the worldI feel like it's rainin' all over the world[Verse 2]Neon signs a-flashin'Taxicabs and busesPassin' through the nightA distant moanin' of a trainSeems to play a sad refrainTo the night[Chorus]A rainy night in GeorgiaSuch a rainy night in GeorgiaLord, I believe it's rainin' all over the worldI feel like it's rainin' all over the world[Bridge]How many times I wonderedIt still comes out the sameNo matter how you look at it, or think of itIt's life, and you just got to play the game[Verse 3]I find me a place in a boxcarSo I take my guitarTo pass some timeLate at night, when it's hard to restI hold your picture to my chestAnd I feel fine (I)"
4o7pdbMDw6XwfXZFCZDoUH,Band Of Gold (Single Mix),Freda Payne,['Freda Payne'],0.756,0.687,11,-7.76,0,0.0435,0.064,0.0,0.25,0.914,106.247,4,178,1970,None
2eot2orcEQn5wR11DSVcbO,It's Only Make Believe,Glen Campbell,['Glen Campbell'],0.448,0.558,0,-5.482,1,0.0299,0.191,0.000735,0.276,0.537,112.742,3,147,1970,None
