danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,nltk,Happy,Angry,Surprise,Sad,Fear,primary_genre
0.6,0.909,-5.154,0.0742,0.433,0.0,0.337,0.94,141.678,0.4404,0.13,0.0,0.17,0.48,0.22,pop
0.445,0.384,-14.642,0.0417,0.635,7.74e-05,0.0539,0.216,123.295,-0.9871,0.05,0.05,0.35,0.35,0.2,rock
0.632,0.586,-11.333,0.0284,0.0983,0.581,0.0535,0.89,114.243,-0.9542,0.03,0.23,0.06,0.32,0.35,rock
0.575,0.912,-7.275,0.0393,0.0916,0.00211,0.0562,0.843,117.399,-0.9791,0.32,0.0,0.37,0.26,0.05,rock
0.621,0.8,-7.284,0.0344,0.0263,1.51e-05,0.0591,0.968,149.91,-0.8529,0.11,0.0,0.33,0.17,0.39,rock
0.429,0.554,-6.128,0.0291,0.67,0.000152,0.105,0.407,136.302,0.9786,0.53,0.07,0.13,0.27,0.0,rock
0.82,0.575,-9.144,0.0408,0.0936,0.000135,0.109,0.964,123.765,0.1918,0.25,0.06,0.19,0.25,0.25,rock
0.331,0.55,-6.483,0.0272,0.605,3.96e-06,0.192,0.429,177.734,0.968,0.25,0.15,0.15,0.2,0.25,rock
0.596,0.448,-9.616,0.0396,0.365,5.3e-06,0.206,0.796,83.293,0.9932,0.18,0.0,0.24,0.29,0.29,rock
0.559,0.473,-7.712,0.0279,0.446,0.00141,0.154,0.397,121.227,0.4404,0.07,0.13,0.0,0.13,0.67,rock
0.657,0.435,-15.707,0.0552,0.739,0.0,0.167,0.771,135.975,0.9961,0.35,0.04,0.09,0.02,0.5,rock
0.468,0.536,-10.422,0.144,0.024,0.00199,0.269,0.785,126.256,0.6921,0.0,0.3,0.21,0.18,0.3,rock
0.523,0.758,-9.81,0.0403,0.133,0.0,0.0952,0.766,135.437,-0.3707,0.05,0.24,0.33,0.33,0.05,rock
0.406,0.713,-5.49,0.0348,0.276,0.00354,0.112,0.577,164.444,-0.7599,0.0,0.12,0.5,0.38,0.0,rock
0.228,0.224,-12.749,0.0311,0.946,0.000222,0.273,0.18,60.3,0.9685,0.14,0.11,0.18,0.25,0.32,rock
0.513,0.979,-6.362,0.0425,0.0195,0.0951,0.0906,0.94,152.875,0.9856,0.09,0.0,0.3,0.21,0.39,rock
0.379,0.343,-12.993,0.0385,0.806,0.0,0.0991,0.694,184.301,0.9816,0.16,0.0,0.42,0.37,0.05,rock
0.697,0.676,-10.742,0.0402,0.706,0.0,0.0824,0.852,148.072,-0.3353,0.1,0.0,0.19,0.48,0.24,rock
0.626,0.565,-10.027,0.0271,0.124,0.0,0.0811,0.924,116.61,0.9222,0.18,0.0,0.27,0.23,0.32,rock
0.688,0.477,-11.945,0.029,0.38,4.93e-05,0.0864,0.897,132.071,0.34,0.05,0.1,0.25,0.45,0.15,rock
0.592,0.705,-10.276,0.0287,0.0291,1.97e-05,0.0456,0.902,135.754,0.9678,0.31,0.23,0.08,0.21,0.18,rock
0.254,0.38,-13.806,0.0337,0.672,0.0,0.379,0.408,168.496,0.9877,0.33,0.1,0.14,0.24,0.19,rock
